First_pokemon,Second_pokemon,id_primer_ataq,nombre1,tipo1_id1,tipo2_id1,nombre2,tipo1_id2,tipo2_id2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,P1_type1,P1_type2,P2_type1,P2_type2,Winner
360,208,360,707,10,12,668,9,12,-30,25,-10,-60,-40,-20,0.5,1.0,2.0,1.0,1
723,646,723,59,6,12,726,11,12,-12,-36,-27,-20,-25,-6,2.0,1.0,0.5,1.0,1
384,533,384,79,12,12,274,3,6,20,5,-37,-35,-37,-16,1.0,1.0,1.0,1.0,1
734,673,734,648,0,12,211,2,12,-21,-95,-10,-13,-20,-38,1.0,1.0,1.0,1.0,1
141,721,141,269,17,7,90,9,5,7,18,-43,-14,25,17,0.5,4.0,1.0,0.5,0
244,741,244,134,11,7,623,9,12,-21,-10,-3,3,-12,23,2.0,2.0,0.5,1.0,0
509,217,509,388,17,7,722,14,12,-3,-52,2,-12,72,2,1.0,1.0,1.0,1.0,0
633,44,633,779,1,12,485,6,12,-13,29,-15,39,-40,5,1.0,1.0,1.0,1.0,0
595,719,595,110,5,12,91,9,12,49,79,30,7,20,7,1.0,1.0,1.0,1.0,0
606,40,606,589,0,14,478,13,10,-21,-2,12,-30,-6,27,0.5,0.25,0.5,1.0,0
368,598,368,774,12,12,598,17,10,-32,20,-15,-25,-15,16,1.0,1.0,1.0,1.0,0
746,584,746,186,14,12,574,15,12,7,-27,-31,38,35,53,1.0,1.0,1.0,1.0,0
350,187,350,438,17,1,518,3,12,50,100,55,75,30,45,1.0,1.0,2.0,1.0,0
303,198,303,512,17,7,46,9,12,-15,-30,5,-5,-30,15,0.5,2.0,1.0,1.0,0
169,701,169,444,9,12,690,15,5,-11,-47,10,11,10,-28,2.0,1.0,1.0,1.0,1
569,115,569,547,1,12,284,5,12,-9,-70,-16,15,-73,-21,0.5,1.0,2.0,1.0,1
231,172,231,615,0,16,715,6,12,-58,-74,152,-99,145,-95,0.5,2.0,1.0,1.0,1
71,440,71,9,14,12,540,17,12,-9,-16,-23,54,19,70,1.0,1.0,1.0,1.0,0
659,610,659,197,9,17,353,9,12,-26,-10,16,-86,11,-80,0.5,1.0,0.25,1.0,1
570,557,570,351,1,12,600,9,12,-11,13,-45,13,-45,-7,1.0,1.0,1.0,1.0,1
712,40,712,333,2,11,478,13,10,44,68,23,35,15,10,1.0,2.0,1.0,1.0,0
451,352,451,369,3,12,746,17,12,-90,30,34,5,34,10,2.0,1.0,1.0,1.0,0
661,95,661,323,16,12,140,17,11,-50,-15,-10,-25,-35,-40,1.0,1.0,1.0,0.5,1
540,4,540,30,14,12,443,9,14,-5,25,-53,3,-50,35,2.0,1.0,1.0,1.0,0
130,319,130,661,17,12,361,12,12,-54,-26,12,-1,12,37,1.0,1.0,1.0,1.0,0
125,418,125,421,12,12,343,2,15,25,45,10,-50,-30,-10,1.0,1.0,1.0,1.0,1
309,276,309,393,0,7,436,9,2,0,-50,-13,-65,-3,-85,2.0,2.0,0.25,1.0,1
579,612,579,522,12,7,582,10,1,0,-17,15,1,-5,-22,1.0,1.0,0.0,1.0,1
716,80,716,445,12,15,688,17,14,20,7,12,48,8,-10,1.0,2.0,1.0,1.0,1
482,535,482,96,14,12,216,3,11,-5,-35,-57,-40,-57,-41,1.0,1.0,1.0,0.5,1
376,37,376,34,10,15,479,13,10,-50,-52,-32,-35,-15,-21,2.0,2.0,0.5,1.0,1
6,328,6,86,6,12,434,1,8,8,-21,-67,-5,-50,60,1.0,1.0,1.0,1.0,1
343,159,343,739,0,12,466,6,7,-25,-27,-35,-78,-10,-5,0.25,1.0,2.0,2.0,1
509,574,509,388,17,7,621,6,12,-30,-78,-13,-38,57,-51,2.0,1.0,0.5,1.0,1
546,530,546,234,8,2,166,8,12,105,20,-35,55,-35,45,2.0,1.0,2.0,1.0,0
486,229,486,62,16,15,588,0,17,-3,-41,16,24,36,-32,0.5,0.5,1.0,0.5,1
686,213,686,511,1,17,720,1,12,-50,20,-40,-20,-90,-5,0.5,1.0,0.5,1.0,1
304,386,304,556,14,4,616,8,12,-16,-50,-10,-18,2,-5,1.0,1.0,2.0,1.0,1
514,732,514,379,3,17,682,6,7,-8,-11,44,56,21,-66,2.0,0.5,2.0,0.25,1
161,757,161,151,2,12,301,1,15,8,30,12,33,24,25,1.0,1.0,1.0,1.0,0
150,265,150,496,15,18,667,17,12,-65,-35,-15,0,-60,-50,1.0,0.5,1.0,1.0,1
436,701,436,93,6,12,690,15,5,-47,-71,-46,-14,-46,-47,0.5,1.0,2.0,1.0,1
221,265,221,210,0,17,667,17,12,-25,15,25,-30,-55,-45,1.0,0.5,1.0,1.0,1
436,603,436,93,6,12,346,0,9,-31,-45,-36,-12,-36,-31,4.0,1.0,0.5,0.5,1
242,365,242,567,17,12,671,12,7,-10,25,-25,25,-40,15,1.0,1.0,1.0,1.0,0
792,251,792,489,7,2,515,10,12,-5,10,20,57,40,83,1.0,1.0,0.0,1.0,0
607,295,607,113,9,4,358,17,9,-20,-23,10,-23,-20,16,1.0,1.0,0.5,0.5,0
439,209,439,528,17,12,771,0,7,-12,-14,8,-14,11,-55,1.0,1.0,1.0,1.0,1
657,360,657,306,0,3,707,10,12,5,-53,5,12,5,55,1.0,0.0,1.0,1.0,0
436,40,436,93,6,12,478,13,10,-37,-44,-33,-27,-31,-24,1.0,1.0,1.0,2.0,1
325,408,325,625,12,12,607,2,12,-15,-50,-55,-25,-15,0,1.0,1.0,1.0,1.0,1
472,89,472,13,12,12,378,3,17,50,65,-4,-35,11,70,0.5,1.0,1.0,1.0,0
71,777,71,9,14,12,248,2,12,-35,-50,-25,25,-55,40,1.0,1.0,1.0,1.0,0
47,615,47,781,13,7,129,6,12,-30,-45,-10,15,-5,5,1.0,1.0,1.0,1.0,0
5,670,5,85,6,12,336,8,6,-21,12,-17,-35,-10,10,0.5,1.0,1.0,0.5,0
793,314,793,769,4,12,629,12,12,-24,-29,-5,36,33,-1,1.0,1.0,1.0,1.0,1
195,461,195,200,3,12,765,0,17,10,-14,-40,11,-35,9,1.0,1.0,1.0,0.5,0
493,568,493,219,2,10,663,12,12,-17,-20,-25,5,-35,2,1.0,1.0,1.0,1.0,0
400,341,400,595,11,18,529,3,12,30,10,30,-10,-5,-50,1.0,1.0,2.0,1.0,1
63,297,63,490,5,12,596,9,12,25,65,10,30,40,65,1.0,1.0,1.0,1.0,0
541,446,541,142,16,2,49,12,18,21,35,60,95,40,19,0.5,1.0,0.5,0.5,0
141,152,141,269,17,7,309,15,18,65,45,-11,5,55,26,1.0,0.5,2.0,0.5,0
54,115,54,730,0,14,284,5,12,10,-65,-3,5,-55,-42,0.5,1.0,0.25,1.0,1
378,161,378,352,15,9,151,2,12,5,-43,12,-9,17,-47,1.0,0.5,1.0,1.0,1
224,316,224,662,16,10,486,0,7,14,-5,155,5,15,-130,1.0,0.0,0.5,0.5,1
311,398,311,61,9,5,417,11,12,-20,10,0,-60,-20,-30,1.0,2.0,2.0,1.0,1
298,35,298,493,9,1,480,13,12,15,23,-12,20,0,19,0.5,1.0,2.0,1.0,0
356,132,356,700,6,12,470,14,4,30,40,75,-15,-50,-70,1.0,1.0,1.0,0.5,0
103,370,103,416,8,14,366,15,15,-10,10,15,75,10,60,2.0,0.5,1.0,2.0,0
503,453,503,153,13,1,576,9,14,10,20,45,-65,-30,5,1.0,1.0,0.5,0.5,0
600,598,600,584,5,12,598,17,10,-30,30,0,-55,0,11,1.0,1.0,1.0,1.0,0
445,45,445,50,12,12,303,12,4,-56,0,20,-10,15,11,1.0,1.0,1.0,1.0,0
360,548,360,707,10,12,517,17,12,-35,20,-35,-35,-35,-70,1.0,1.0,2.0,1.0,1
303,133,303,512,17,7,592,0,7,-10,-60,20,30,-10,-40,1.0,2.0,0.5,1.0,1
51,331,51,736,9,14,24,16,16,25,10,-15,70,50,20,1.0,0.0,1.0,1.0,0
171,559,171,551,6,12,523,6,5,-32,-29,3,10,10,25,0.5,1.0,0.5,1.0,0
758,129,758,381,1,15,594,17,12,6,0,23,3,-5,5,1.0,1.0,1.0,1.0,0
6,255,6,86,6,12,637,12,12,3,44,23,60,20,5,1.0,1.0,1.0,1.0,0
698,154,698,341,0,6,6,15,7,-25,-20,-10,-10,-20,-70,0.5,0.5,4.0,2.0,1
92,491,92,147,12,7,652,8,1,-15,-7,-63,-57,-73,40,0.0,1.0,0.0,1.0,1
381,73,381,22,15,0,372,5,12,5,45,50,35,45,10,0.5,0.5,1.0,1.0,0
354,271,354,73,6,10,286,6,7,-36,-30,-20,-5,-79,-50,0.5,0.0,0.5,1.0,1
219,49,219,232,12,15,495,9,14,25,30,10,15,0,55,1.0,2.0,1.0,1.0,0
736,244,736,356,6,13,134,11,7,17,-5,13,8,9,-3,2.0,1.0,0.5,1.0,1
683,245,683,159,2,12,387,17,7,12,80,20,-20,-50,-22,1.0,1.0,0.5,1.0,1
533,452,533,274,3,6,64,9,14,10,35,72,55,37,31,0.5,2.0,0.5,1.0,0
200,588,200,31,17,4,679,14,7,33,-7,25,-17,25,-64,1.0,1.0,1.0,1.0,1
403,636,403,295,17,12,251,14,12,10,74,55,39,10,7,1.0,1.0,1.0,1.0,0
56,561,56,145,10,12,499,17,12,-45,0,-20,-28,0,50,1.0,1.0,2.0,1.0,1
54,119,54,730,0,14,754,13,12,-5,-35,-70,-45,-15,-15,0.5,0.5,0.5,1.0,1
629,141,629,21,15,7,269,17,7,-20,15,-14,52,-35,29,2.0,1.0,2.0,0.5,0
547,779,547,117,14,12,516,8,9,77,0,72,25,70,47,1.0,1.0,2.0,1.0,0
380,547,380,16,15,0,117,14,12,-75,25,-70,-35,-80,-10,1.0,2.0,1.0,1.0,1
407,307,407,33,2,12,415,14,4,-23,-10,-5,-125,-105,-50,0.0,1.0,1.0,2.0,1
153,559,153,310,15,18,523,6,5,-30,22,50,-5,15,25,1.0,2.0,0.25,2.0,0
306,268,306,224,14,4,716,15,1,-32,-69,-45,30,15,19,0.0,2.0,1.0,1.0,0
89,382,89,378,3,17,194,17,12,5,20,50,85,0,-35,2.0,0.5,1.0,1.0,0
54,32,54,730,0,14,554,3,12,0,-35,-5,-50,-25,-65,1.0,1.0,1.0,1.0,1
172,745,172,715,6,12,217,12,12,3,4,18,44,-5,-2,1.0,1.0,1.0,1.0,1
16,110,16,70,0,7,177,3,12,0,-5,-20,10,0,-70,1.0,0.5,2.0,1.0,1
537,734,537,469,3,9,648,0,12,5,43,47,78,77,57,1.0,0.5,2.0,1.0,0
278,94,278,109,6,5,597,17,12,-5,40,5,40,-10,10,0.5,1.0,2.0,1.0,0
342,643,342,463,3,12,675,17,7,-15,-47,-13,-12,22,-3,4.0,1.0,1.0,0.5,1
435,165,435,703,9,10,430,14,12,-11,-41,35,-119,-35,-84,1.0,1.0,1.0,1.0,1
638,691,638,252,14,12,743,1,7,0,0,20,50,45,5,0.0,1.0,2.0,1.0,1
734,718,734,648,0,12,227,0,17,-26,-98,-35,-93,-65,-70,0.5,1.0,1.0,1.0,1
298,781,298,493,9,1,543,8,9,21,4,-30,16,-15,9,0.5,2.0,0.5,0.5,0
42,113,42,102,4,12,124,10,12,45,20,-22,55,40,25,1.0,1.0,1.0,1.0,0
97,316,97,472,13,12,486,0,7,44,15,30,15,50,-110,1.0,1.0,0.5,1.0,0
416,397,416,562,11,12,236,11,12,0,-30,20,20,120,-30,1.0,1.0,1.0,1.0,1
483,400,483,665,13,1,595,11,18,-27,3,-23,-34,-29,29,1.0,1.0,1.0,1.0,0
275,155,275,587,9,12,399,15,7,-10,-50,-20,35,-10,-30,1.0,1.0,1.0,2.0,1
154,461,154,6,15,7,765,0,17,20,36,-30,-9,-20,94,1.0,1.0,0.5,2.0,0
309,4,309,393,0,7,443,9,14,-10,-40,-61,-42,-38,-20,1.0,2.0,0.25,1.0,1
539,30,539,450,14,12,17,13,12,20,20,36,40,26,0,2.0,1.0,1.0,1.0,1
545,266,545,233,8,2,342,15,10,100,36,70,55,70,49,1.0,1.0,1.0,1.0,0
283,340,283,674,17,10,425,3,12,30,35,10,-50,10,-75,1.0,2.0,0.0,1.0,1
232,254,232,279,0,5,656,12,12,7,30,13,-45,30,0,1.0,2.0,1.0,1.0,1
384,427,384,79,12,12,433,2,7,-35,-110,-30,-110,-30,-45,1.0,1.0,1.0,1.0,1
161,781,161,151,2,12,543,8,9,12,18,-5,26,15,19,1.0,1.0,1.0,0.5,0
496,420,496,473,12,12,344,2,15,55,-5,-40,-90,-25,-105,1.0,1.0,1.0,1.0,0
268,159,268,716,15,1,466,6,7,10,34,20,-30,15,-29,4.0,1.0,0.5,0.5,1
473,593,473,156,8,7,694,5,12,15,-30,-21,35,9,35,1.0,2.0,0.0,1.0,0
550,475,550,126,1,12,67,12,12,15,24,46,91,34,40,1.0,1.0,1.0,1.0,0
199,785,199,390,17,4,254,8,9,5,-70,-72,-38,-25,-44,0.5,1.0,1.0,2.0,1
385,732,385,315,12,12,682,6,7,-18,9,-1,-14,51,-86,1.0,1.0,1.0,1.0,1
488,196,488,461,14,4,15,3,12,-70,-50,-40,-45,0,5,1.0,1.0,1.0,1.0,0
30,587,30,17,13,12,761,14,7,5,40,26,10,36,8,1.0,1.0,2.0,1.0,0
36,494,36,482,13,12,223,2,10,-38,-68,-28,-25,-30,-46,0.5,1.0,1.0,2.0,1
513,184,513,751,1,11,119,13,7,-15,30,-15,-25,5,-5,1.0,2.0,1.0,1.0,1
129,106,129,594,17,12,297,14,12,-5,19,-5,-8,-35,1,1.0,1.0,1.0,1.0,0
6,604,6,86,6,12,728,0,14,28,19,-1,50,26,23,2.0,1.0,0.5,1.0,0
137,315,137,527,0,12,484,0,10,34,80,10,25,40,45,1.0,1.0,1.0,0.5,0
83,509,83,245,15,10,388,17,7,35,100,80,-5,-55,-5,2.0,0.0,4.0,0.5,1
585,534,585,56,15,12,749,3,18,20,40,-2,-55,-67,-66,1.0,1.0,1.0,2.0,0
743,57,743,503,5,12,161,10,12,32,2,12,-4,-22,-77,1.0,1.0,1.0,1.0,1
220,723,220,526,0,12,59,6,12,-9,6,32,-55,-35,-58,0.5,1.0,2.0,1.0,1
764,665,764,100,17,12,170,3,12,6,-12,18,45,19,19,1.0,1.0,2.0,1.0,0
708,439,708,777,2,3,528,17,12,47,99,67,59,44,50,1.0,2.0,0.5,1.0,0
28,545,28,193,12,7,233,8,2,-85,-10,-55,-39,-59,10,0.0,1.0,0.0,1.0,1
23,796,23,519,12,7,143,15,4,33,-20,-75,-30,-80,51,0.5,0.5,2.0,1.0,0
698,147,698,341,0,6,305,3,12,-10,20,-5,-60,-40,-70,1.0,1.0,1.0,1.0,1
306,635,306,224,14,4,97,12,12,-7,-30,5,60,55,-35,1.0,1.0,1.0,1.0,1
158,666,158,775,3,7,171,3,12,5,-25,5,20,10,50,0.5,0.5,1.0,1.0,0
55,750,55,729,0,14,149,16,8,11,-45,-90,45,26,55,0.25,0.0,1.0,1.0,1
513,439,513,751,1,11,528,17,12,17,69,12,-16,29,85,1.0,0.5,1.0,1.0,0
769,264,769,12,15,11,183,6,12,-38,-56,-35,-23,-12,-54,2.0,0.5,1.0,1.0,1
232,499,232,279,0,5,424,5,17,10,-20,-13,-100,25,-27,0.25,2.0,0.5,1.0,1
23,623,23,519,12,7,617,14,7,11,22,-5,-33,-10,4,1.0,1.0,1.0,1.0,0
97,250,97,472,13,12,318,17,2,30,10,-20,-30,5,-35,1.0,1.0,1.0,1.0,1
324,544,324,491,15,12,563,12,12,-80,-115,25,-35,-20,-70,1.0,1.0,0.5,1.0,1
517,10,517,684,9,12,655,17,12,56,52,60,60,-14,7,2.0,1.0,0.5,1.0,0
586,461,586,231,15,12,765,0,17,25,66,35,-9,-15,-11,1.0,1.0,1.0,2.0,1
779,349,779,516,8,9,603,17,1,-27,-50,8,-45,20,-57,0.5,2.0,0.5,2.0,1
669,226,669,357,8,6,644,4,12,-10,-50,5,25,15,-10,1.0,1.0,0.5,1.0,1
623,53,623,617,14,7,509,0,9,12,-37,0,43,0,67,1.0,4.0,1.0,0.5,0
538,718,538,723,14,12,227,0,17,4,-45,35,-45,35,-4,0.5,1.0,2.0,1.0,1
438,242,438,300,6,5,567,17,12,41,39,36,39,36,43,0.5,1.0,2.0,1.0,0
523,759,523,235,11,12,51,15,18,23,8,43,91,39,15,0.5,1.0,2.0,1.0,0
14,103,14,80,0,12,416,8,14,-15,-35,-45,-150,-75,-85,0.25,1.0,1.0,1.0,1
378,152,378,352,15,9,309,15,18,36,-39,-13,6,42,-32,1.0,4.0,1.0,1.0,1
478,361,478,465,8,12,733,10,2,10,-10,10,55,55,35,1.0,1.0,1.0,1.0,0
137,698,137,527,0,12,341,0,6,10,40,45,5,15,25,0.5,1.0,1.0,2.0,0
354,739,354,73,6,10,206,4,12,16,55,23,30,-23,-12,1.0,1.0,0.5,1.0,1
233,684,233,419,0,5,246,10,8,21,111,65,5,55,40,0.5,0.0,0.5,1.0,1
291,605,291,42,0,7,756,0,14,20,15,-49,60,-29,18,0.5,2.0,0.5,1.0,0
96,264,96,261,13,12,183,6,12,-35,-35,-35,-50,-25,-75,1.0,1.0,1.0,1.0,1
730,137,730,204,12,7,527,0,12,-20,-75,-57,-15,-32,-23,1.0,2.0,0.5,1.0,1
129,744,129,594,17,12,504,5,1,-15,-32,-13,-4,9,10,1.0,1.0,1.0,1.0,0
611,107,611,38,17,12,326,17,12,40,-13,-25,55,30,48,0.5,1.0,0.5,1.0,0
58,560,58,449,12,12,180,6,5,-70,-78,-30,-60,-25,25,1.0,1.0,1.0,2.0,1
658,146,658,221,0,3,727,17,12,-60,12,0,-13,-35,43,1.0,2.0,1.0,1.0,0
625,753,625,107,8,12,654,4,12,-20,-2,85,32,40,7,1.0,1.0,1.0,1.0,0
524,27,524,239,10,7,647,12,7,35,35,95,14,44,25,0.0,1.0,1.0,1.0,0
794,474,794,773,1,7,155,8,7,-24,51,51,41,44,19,2.0,1.0,0.5,1.0,0
365,391,365,671,12,7,710,9,7,-54,-28,-23,-32,-12,-1,1.0,2.0,0.5,1.0,1
592,585,592,404,12,4,56,15,12,33,-45,21,30,86,30,0.5,1.0,1.0,1.0,0
512,586,512,397,9,11,231,15,12,5,-3,-25,72,25,5,2.0,1.0,2.0,1.0,0
526,424,526,536,12,12,263,10,12,-15,-70,-70,35,-15,0,1.0,1.0,1.0,1.0,1
70,456,70,311,14,12,611,15,17,10,-7,-88,78,-18,75,0.5,1.0,1.0,1.0,0
540,288,540,30,14,12,355,12,12,-3,55,9,75,9,15,1.0,1.0,1.0,1.0,0
347,389,347,673,13,12,167,8,12,80,33,-7,43,-7,30,0.5,1.0,1.0,1.0,0
689,128,689,578,12,7,243,17,12,25,16,-10,2,0,-3,1.0,1.0,1.0,1.0,1
211,701,211,550,17,10,690,15,5,4,-44,-5,-7,-25,-73,2.0,2.0,0.5,1.0,1
336,385,336,395,5,15,315,12,12,0,-30,5,0,-45,40,2.0,1.0,1.0,1.0,0
594,80,594,268,5,12,688,17,14,5,35,20,-40,-70,-60,0.5,1.0,1.0,1.0,1
785,490,785,254,8,9,87,12,7,-11,25,77,-34,33,-7,0.0,0.5,0.0,2.0,1
425,308,425,538,10,6,670,0,18,60,150,128,100,38,25,0.5,1.0,0.5,4.0,0
27,731,27,647,12,7,203,6,7,-22,-13,-25,-25,-21,-14,1.0,1.0,1.0,1.0,1
459,399,459,763,0,9,649,11,18,-10,19,35,24,55,11,1.0,2.0,2.0,0.5,0
421,494,421,422,2,15,223,2,10,-28,0,5,80,35,8,2.0,1.0,2.0,1.0,0
578,768,578,476,14,12,717,15,2,34,-66,-34,38,36,-42,1.0,1.0,1.0,1.0,1
63,82,63,490,5,12,259,15,10,10,10,-55,15,25,60,2.0,1.0,0.5,1.0,0
257,221,257,285,5,12,210,0,17,-25,5,-45,-25,50,30,1.0,1.0,0.5,1.0,0
4,150,4,443,9,14,496,15,18,45,60,23,32,65,45,4.0,0.5,1.0,0.5,0
546,333,546,234,8,2,7,16,16,80,10,-80,60,40,40,1.0,0.5,1.0,1.0,0
308,544,308,670,0,18,563,12,12,-70,-130,-78,-30,-58,-35,1.0,1.0,1.0,1.0,1
213,442,213,720,1,12,659,12,7,55,10,80,30,100,5,1.0,1.0,1.0,1.0,0
575,302,575,505,17,12,759,17,7,10,23,18,-2,18,-21,0.5,1.0,0.5,1.0,1
209,645,209,771,0,7,724,11,12,14,0,-20,-5,-30,36,1.0,1.0,2.0,1.0,0
92,768,92,147,12,7,717,15,2,-47,-36,-74,-34,-24,4,0.5,0.5,2.0,1.0,0
116,672,116,283,5,12,29,2,12,4,18,19,5,70,19,1.0,1.0,1.0,1.0,0
132,69,132,470,14,4,1,14,12,15,25,50,-5,65,0,0.5,1.0,0.5,1.0,1
568,396,568,663,12,12,642,11,12,35,60,40,-5,40,30,1.0,1.0,1.0,1.0,0
644,218,644,725,11,12,760,14,12,-154,17,-8,32,2,11,0.5,1.0,1.0,1.0,0
321,163,321,380,5,12,455,14,12,-34,-50,-60,-134,-60,-105,0.5,1.0,2.0,1.0,1
17,164,17,752,0,14,429,14,5,-66,-155,-70,-134,-80,-80,1.0,1.0,2.0,0.25,1
715,190,715,317,17,5,697,4,12,56,52,25,89,25,88,1.0,0.5,2.0,1.0,0
51,57,51,736,9,14,161,10,12,40,0,35,60,20,-70,2.0,0.5,1.0,1.0,0
237,448,237,635,6,12,328,0,12,-37,-45,-11,15,-11,-45,2.0,1.0,0.5,1.0,1
580,676,580,706,12,7,41,11,12,-33,-33,-18,-20,-38,15,1.0,1.0,2.0,1.0,0
789,726,789,48,11,12,214,17,12,1,6,33,-51,-21,-69,0.5,1.0,1.0,1.0,1
420,718,420,344,2,15,227,0,17,9,-30,-15,10,15,11,0.5,0.5,2.0,1.0,0
83,499,83,245,15,10,424,5,17,10,-25,42,-85,-5,-67,0.25,2.0,2.0,2.0,1
526,159,526,536,12,12,466,6,7,-5,-20,-20,10,-10,0,1.0,1.0,1.0,1.0,1
