First_pokemon,Second_pokemon,id_primer_ataq,nombre1,tipo1_id1,tipo2_id1,nombre2,tipo1_id2,tipo2_id2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,P1_type1,P1_type2,P2_type1,P2_type2
335,774,335,404,5,15,76,15,4,-20,-10,-95,-10,-95,10,1.0,1.0,0.5,2.0
368,317,368,790,12,12,619,0,8,72,25,15,30,30,50,0.0,1.0,1.0,0.0
103,34,103,424,8,14,595,10,12,-15,-35,-30,125,40,65,1.0,0.5,2.0,1.0
392,223,392,96,14,12,241,10,7,0,-25,-35,60,15,-20,1.0,1.0,1.0,1.0
248,597,248,298,1,6,511,17,10,0,25,-5,45,25,26,1.0,0.5,2.0,2.0
535,692,535,219,3,11,391,1,7,-60,0,2,50,12,6,2.0,2.0,1.0,0.5
99,676,99,107,17,11,42,11,12,-45,-15,100,15,-35,20,1.0,1.0,0.5,1.0
238,219,238,380,6,16,235,12,15,-20,-30,55,-10,15,-55,1.0,1.0,0.5,1.0
672,177,672,30,2,12,221,12,12,-39,11,-4,-15,-15,-33,1.0,1.0,1.0,1.0
586,482,586,234,15,12,98,14,12,40,105,80,-5,30,-20,1.0,1.0,1.0,1.0
766,773,766,281,3,13,132,3,4,-5,-3,-5,28,27,8,0.5,1.0,0.5,1.0
64,779,64,268,6,12,525,8,9,12,0,-3,20,-10,22,2.0,1.0,1.0,0.5
185,732,185,97,17,3,695,6,7,-3,-43,-33,-18,-13,-59,2.0,2.0,0.5,0.5
337,664,337,436,5,15,727,3,12,25,45,45,35,45,40,1.0,1.0,1.0,1.0
318,306,318,773,12,12,227,14,4,-4,-14,-42,-74,-92,-52,1.0,1.0,1.0,1.0
575,34,575,514,17,12,595,10,12,-25,-47,-62,8,-7,-1,2.0,1.0,1.0,1.0
472,201,472,13,12,12,679,15,12,5,0,-49,30,1,85,0.5,1.0,1.0,1.0
724,259,724,137,6,15,181,3,12,30,6,35,49,45,9,1.0,1.0,1.0,1.0
551,169,551,617,9,12,453,9,12,20,18,0,17,0,20,0.5,1.0,0.5,1.0
364,798,364,74,9,1,293,14,8,-10,5,0,-35,-70,-15,1.0,4.0,0.0,0.5
124,755,124,319,12,12,691,4,12,43,47,14,-19,23,41,1.0,1.0,1.0,1.0
174,9,174,122,17,12,419,6,7,-13,-24,2,-100,-52,-42,2.0,1.0,0.5,1.0
376,739,376,35,10,15,209,4,12,-14,-5,8,-35,-28,3,1.0,1.0,1.0,1.0
110,346,110,180,3,12,270,13,12,-10,7,17,37,27,100,1.0,1.0,1.0,1.0
505,434,505,718,13,5,265,9,12,8,17,-20,31,0,49,2.0,1.0,0.5,1.0
255,776,255,650,12,12,644,2,12,-13,-55,-18,-63,-68,15,1.0,1.0,1.0,1.0
464,303,464,746,0,7,521,17,7,10,30,2,-5,32,-25,0.5,1.0,1.0,2.0
120,201,120,582,10,16,679,15,12,10,-15,-20,0,-35,-5,2.0,1.0,0.5,1.0
578,157,578,485,14,12,26,11,7,26,-30,-15,12,-30,-56,1.0,1.0,0.5,1.0
325,289,325,638,12,12,782,0,12,5,0,10,15,5,30,1.0,1.0,1.0,1.0
604,638,604,742,0,14,255,14,12,-40,-10,-36,-65,-71,-8,2.0,1.0,2.0,1.0
208,84,208,681,9,12,543,6,12,25,-10,0,40,20,-60,0.5,1.0,2.0,1.0
735,390,735,753,0,7,168,8,12,40,-18,-80,30,-80,64,0.5,1.0,1.0,1.0
417,682,417,576,16,12,466,5,12,15,-50,90,-20,90,-55,1.0,1.0,2.0,1.0
489,581,489,273,12,12,734,12,7,20,-110,-75,-50,10,-63,1.0,1.0,1.0,1.0
331,744,331,25,16,16,513,5,1,-45,-54,22,-29,-31,-28,1.0,0.5,4.0,1.0
252,527,252,151,10,12,223,14,5,22,-5,55,-5,-55,-30,1.0,1.0,1.0,1.0
738,339,738,204,4,12,392,3,12,-26,-37,-21,-44,19,-63,1.0,1.0,1.0,1.0
289,567,289,782,0,12,284,12,12,-20,-35,-30,-15,-35,-40,1.0,1.0,1.0,1.0
185,742,185,97,17,3,244,9,12,-48,-62,-24,-41,-25,-1,0.5,0.5,2.0,1.0
703,44,703,714,7,12,494,6,12,6,39,-5,44,-20,11,1.0,1.0,1.0,1.0
369,298,369,614,13,12,502,9,1,3,30,20,40,20,5,2.0,1.0,0.5,1.0
316,255,316,495,0,7,650,12,12,6,70,10,30,5,85,1.0,1.0,1.0,1.0
669,702,669,363,8,6,752,9,5,-41,-60,-17,-25,-74,-88,1.0,2.0,0.5,0.0
175,327,175,199,17,12,590,1,8,35,30,25,14,18,28,1.0,1.0,1.0,1.0
305,553,305,326,14,4,19,12,12,-82,-85,-85,-55,-65,-70,1.0,1.0,1.0,1.0
339,132,339,392,3,12,479,14,4,30,30,-5,5,-60,15,1.0,1.0,1.0,1.0
387,196,387,36,8,12,15,3,12,-26,40,-20,-32,-27,10,1.0,1.0,1.0,1.0
447,148,447,333,0,12,205,6,12,-28,-105,-19,-70,-69,-40,0.5,1.0,2.0,1.0
107,142,107,332,17,12,426,17,1,-65,-50,-19,-45,-105,-31,0.5,1.0,0.5,1.0
431,435,431,138,14,12,716,9,10,-45,-39,55,-5,75,34,1.0,1.0,1.0,1.0
43,761,43,759,6,12,640,13,18,-12,-19,-20,-10,5,35,0.5,1.0,1.0,2.0
40,33,40,487,13,10,594,10,12,31,27,-8,65,45,45,0.5,1.0,2.0,1.0
453,796,453,587,9,14,145,15,4,10,-30,-85,25,-45,40,2.0,1.0,1.0,1.0
281,478,281,480,17,12,474,8,12,-10,10,-10,-55,-55,-65,1.0,1.0,1.0,1.0
32,63,32,565,3,12,499,5,12,-5,-15,-5,30,10,15,1.0,1.0,1.0,1.0
495,439,495,422,2,10,537,17,12,55,119,62,59,39,52,1.0,1.0,1.0,1.0
104,355,104,507,15,10,417,6,10,-35,-75,60,-115,-60,50,1.0,2.0,0.5,2.0
544,155,544,574,12,12,407,15,7,30,25,25,10,15,-50,0.5,1.0,1.0,1.0
411,190,411,46,16,15,710,4,12,5,35,15,-5,-5,10,2.0,1.0,0.5,1.0
517,662,517,697,9,12,327,16,12,40,20,30,40,-35,0,0.5,1.0,1.0,1.0
534,640,534,764,3,18,166,14,12,-15,25,57,-20,47,56,1.0,1.0,1.0,1.0
631,800,631,225,13,12,755,6,18,0,-15,-38,-70,-8,5,1.0,1.0,1.0,1.0
312,202,312,643,12,12,539,17,12,-30,-15,-15,-55,-65,-40,1.0,1.0,1.0,1.0
602,770,602,685,0,9,28,15,11,-68,-14,18,-49,-12,-16,1.0,2.0,2.0,2.0
462,426,462,477,0,7,572,2,7,-35,-56,-40,-56,-40,-29,0.5,1.0,1.0,2.0
104,707,104,507,15,10,579,2,6,-65,-75,60,-120,-75,-20,2.0,2.0,1.0,0.5
225,139,225,449,16,10,698,12,12,0,25,135,15,25,-80,1.0,1.0,0.5,1.0
255,40,255,650,12,12,487,13,10,-26,-82,-42,-65,-30,-10,1.0,1.0,1.0,1.0
72,764,72,409,14,12,102,17,12,-16,-23,-23,55,6,91,1.0,1.0,1.0,1.0
390,611,390,168,8,12,39,17,12,-30,-22,65,-20,75,-73,1.0,1.0,1.0,1.0
389,298,389,170,8,12,502,9,1,-50,-30,50,-30,50,-35,0.5,1.0,1.0,2.0
344,589,344,304,0,12,160,10,12,5,-38,15,43,30,17,1.0,1.0,0.5,1.0
675,272,675,125,11,12,83,14,9,-45,-30,-60,-40,-60,-60,1.0,1.0,1.0,1.0
269,91,269,451,15,1,195,12,7,48,99,95,37,58,11,2.0,1.0,0.5,0.5
599,511,599,704,5,12,0,9,11,30,8,10,-62,0,-15,2.0,1.0,1.0,1.0
83,18,83,248,15,10,318,0,14,35,95,80,30,40,10,2.0,1.0,1.0,0.25
569,479,569,558,1,12,291,1,7,-59,-75,-15,-55,-15,-5,0.5,1.0,0.5,1.0
180,220,180,354,0,7,535,0,12,-10,-45,-60,5,45,40,1.0,2.0,0.5,1.0
787,514,787,258,8,9,386,3,17,5,25,7,-72,-15,9,1.0,0.5,0.5,1.0
458,676,458,71,0,12,42,11,12,-55,-81,-35,-41,-35,-14,1.0,1.0,1.0,1.0
715,187,715,323,17,5,527,3,12,71,32,75,94,55,48,1.0,1.0,2.0,1.0
737,798,737,560,6,13,293,14,8,6,-42,12,-41,-64,36,1.0,0.0,1.0,0.0
524,510,524,242,10,7,656,9,11,15,33,75,-17,15,55,0.5,2.0,1.0,4.0
579,576,579,531,12,7,632,17,12,-25,-43,-13,-62,-33,-58,1.0,1.0,1.0,1.0
778,577,778,328,16,4,483,14,12,-19,55,46,13,32,51,1.0,1.0,0.5,1.0
222,580,222,165,12,12,719,12,7,38,-7,8,15,23,-20,1.0,1.0,1.0,1.0
472,125,472,13,12,12,429,12,12,-30,-25,-34,0,-34,15,1.0,1.0,1.0,1.0
735,729,735,753,0,7,146,12,10,-5,-4,-27,40,-27,11,1.0,1.0,1.0,0.0
652,245,652,212,9,14,394,17,7,4,15,-25,-25,-85,-55,1.0,1.0,0.5,2.0
144,756,144,148,12,12,649,4,12,-34,-32,-38,-37,-27,-24,1.0,1.0,1.0,1.0
213,550,213,733,1,12,128,1,12,25,-25,20,-75,40,-60,0.5,1.0,0.5,1.0
433,689,433,725,9,12,589,12,7,-15,-15,14,8,5,-29,0.5,1.0,1.0,2.0
590,339,590,190,10,17,392,3,12,40,60,0,-55,5,-17,2.0,0.5,0.0,1.0
419,593,419,430,2,15,707,5,12,5,20,65,115,115,75,1.0,2.0,0.5,1.0
431,790,431,138,14,12,29,11,12,-45,-47,-24,26,114,62,1.0,1.0,0.5,1.0
6,364,6,88,6,12,74,9,1,-12,-51,-2,-35,5,25,2.0,1.0,0.5,1.0
733,379,733,598,0,12,116,15,9,-48,-46,-57,-54,-82,-8,2.0,1.0,2.0,0.5
22,474,22,529,12,7,158,8,7,-87,-20,11,-40,-4,-9,0.0,1.0,0.0,1.0
327,70,327,590,1,8,317,14,12,10,40,45,-55,-5,-55,2.0,2.0,0.0,1.0
243,366,243,503,17,12,11,2,7,0,35,-15,35,-30,-35,0.5,1.0,1.0,1.0
215,467,215,646,17,15,208,17,12,10,-30,25,15,60,-85,0.5,1.0,0.5,1.0
478,492,478,474,8,12,233,2,10,2,-10,15,65,60,63,1.0,1.0,1.0,1.0
705,609,705,705,3,7,523,9,12,34,80,20,55,30,81,0.5,2.0,0.5,1.0
505,693,505,718,13,5,279,6,12,-2,9,-1,-19,-1,20,1.0,1.0,1.0,1.0
729,314,729,146,12,10,642,12,12,-65,-104,-23,-45,12,-22,1.0,1.0,1.0,1.0
570,734,570,357,1,12,661,0,12,19,66,-10,61,20,77,1.0,1.0,2.0,1.0
411,632,411,46,16,15,796,1,12,0,-10,40,-45,20,-35,1.0,0.0,2.0,1.0
769,758,769,12,15,11,388,1,15,-9,-33,-38,-1,-12,-27,1.0,0.5,1.0,1.0
234,123,234,652,1,11,696,9,12,-10,40,-60,-65,35,55,1.0,2.0,1.0,1.0
263,281,263,566,3,12,480,17,12,40,15,25,65,50,75,2.0,1.0,1.0,1.0
94,616,94,609,17,12,129,6,12,-40,-95,0,15,15,-50,2.0,1.0,0.5,1.0
368,307,368,790,12,12,423,14,4,5,30,-5,-105,-75,-10,1.0,1.0,1.0,1.0
212,637,212,188,14,12,256,14,12,5,20,-10,55,10,55,0.5,1.0,0.5,1.0
326,794,326,135,12,12,789,1,7,-56,-66,-30,-76,-43,-29,1.0,1.0,1.0,1.0
120,55,120,582,10,16,743,0,14,10,20,35,-60,-45,-65,1.0,2.0,1.0,0.25
770,104,770,28,15,11,507,15,10,88,32,-88,69,47,-12,0.5,2.0,2.0,2.0
501,452,501,286,10,12,66,9,14,68,82,83,18,2,-8,1.0,1.0,2.0,0.5
289,192,289,782,0,12,486,14,7,5,-5,-10,-50,-15,-50,1.0,1.0,1.0,2.0
598,665,598,610,17,10,173,3,12,40,10,5,10,5,34,1.0,2.0,0.0,1.0
20,523,20,414,0,14,238,11,12,0,90,-70,-115,-15,80,1.0,1.0,1.0,1.0
620,651,620,123,0,16,187,0,17,0,-40,20,5,-30,25,0.5,1.0,1.0,2.0
481,726,481,559,12,12,217,17,12,17,19,12,-19,3,15,1.0,1.0,1.0,1.0
368,190,368,790,12,12,710,4,12,38,95,-5,20,-5,70,1.0,1.0,1.0,1.0
99,194,99,107,17,11,397,3,12,-5,55,140,20,0,35,1.0,1.0,2.0,1.0
42,81,42,104,4,12,232,15,10,55,-10,-27,65,60,40,1.0,1.0,1.0,1.0
718,112,718,230,0,17,192,9,15,-24,25,10,-5,30,44,4.0,1.0,0.25,0.5
362,233,362,211,10,2,427,0,5,0,-85,-35,40,-25,25,0.5,1.0,1.0,1.0
584,220,584,585,15,12,535,0,12,5,10,-5,-10,-10,0,2.0,1.0,1.0,1.0
582,161,582,57,3,12,154,2,12,-16,-24,-33,-20,-38,6,0.5,1.0,1.0,1.0
773,2,773,132,3,4,307,9,14,7,-4,-6,1,-13,41,0.5,1.0,1.0,2.0
332,384,332,341,16,16,81,12,12,-10,20,70,-20,-20,-30,1.0,1.0,0.25,1.0
136,415,136,382,6,12,575,15,12,-15,-5,-143,50,-15,43,0.5,1.0,2.0,1.0
385,673,385,321,12,12,214,2,12,-6,-27,0,20,70,-27,1.0,1.0,1.0,1.0
454,607,454,117,15,12,115,9,4,27,98,-20,-7,-20,-8,1.0,1.0,2.0,1.0
372,679,372,38,17,10,3,0,12,-30,-22,3,-54,-19,-85,1.0,0.5,1.0,1.0
710,390,710,344,10,7,168,8,12,49,75,-40,45,-50,66,1.0,1.0,1.0,1.0
589,709,589,160,10,12,343,10,7,-29,-40,-50,-85,-35,-33,0.0,1.0,1.0,1.0
540,305,540,31,14,12,326,14,4,37,90,35,60,15,65,0.5,1.0,0.5,1.0
21,96,21,530,12,7,264,13,12,-40,-35,-10,-5,-15,31,1.0,1.0,1.0,1.0
48,324,48,245,13,7,500,15,12,45,35,-65,20,-15,60,0.5,0.5,2.0,1.0
391,65,391,723,9,7,18,6,12,9,-42,3,-28,7,-44,0.5,1.0,2.0,1.0
742,382,742,244,9,12,197,17,12,103,85,42,87,26,-12,2.0,1.0,0.5,1.0
32,503,32,565,3,12,156,13,1,-10,0,-55,30,5,15,1.0,1.0,1.0,1.0
98,395,98,621,17,12,783,14,12,-65,42,52,22,-23,17,1.0,1.0,1.0,1.0
466,401,466,67,17,12,762,11,18,-55,-15,-55,-35,-60,20,0.5,1.0,0.5,0.5
198,115,198,47,9,12,288,5,12,25,-40,42,55,-10,-37,1.0,1.0,1.0,1.0
536,598,536,194,3,7,610,17,10,-55,-30,32,20,32,12,0.0,1.0,1.0,0.0
272,630,272,83,14,9,724,13,12,50,50,38,60,38,35,2.0,0.5,2.0,1.0
696,393,696,798,1,2,2,1,12,7,-45,10,-10,10,-17,0.5,1.0,0.5,1.0
499,359,499,433,5,17,664,12,12,10,85,28,80,10,52,2.0,1.0,0.5,1.0
554,669,554,748,14,6,363,8,6,50,70,45,35,45,80,1.0,0.5,2.0,0.5
752,564,752,5,16,8,519,12,12,15,-5,111,15,111,18,1.0,0.0,0.0,1.0
793,544,793,785,4,12,574,12,12,16,-29,-15,51,-12,-1,1.0,1.0,1.0,1.0
432,196,432,140,14,12,15,3,12,-40,20,5,-20,0,125,1.0,1.0,1.0,1.0
428,1,428,310,16,15,68,9,14,55,51,51,35,35,55,1.0,2.0,0.5,0.0
236,550,236,736,12,12,128,1,12,20,40,-15,-60,-15,-70,1.0,1.0,1.0,1.0
420,263,420,350,2,15,566,3,12,-10,5,5,15,10,-5,1.0,1.0,0.5,1.0
631,389,631,225,13,12,170,8,12,60,55,-8,30,-8,50,0.5,1.0,1.0,1.0
662,24,662,327,16,12,440,12,7,-23,0,15,-65,5,-71,1.0,1.0,0.5,0.5
579,357,579,531,12,7,666,14,12,-10,30,15,-34,-50,-17,1.0,1.0,1.0,1.0
635,608,635,99,12,12,770,9,4,15,28,-25,-12,-15,-1,1.0,1.0,1.0,1.0
397,774,397,239,11,12,76,15,4,30,30,-70,30,-70,30,1.0,1.0,2.0,1.0
464,682,464,746,0,7,466,5,12,5,-45,42,-15,42,-65,0.5,2.0,0.25,1.0
271,70,271,290,6,7,317,14,12,66,95,60,-10,84,-15,1.0,1.0,1.0,1.0
547,440,547,119,14,12,550,17,12,56,4,52,-6,54,35,1.0,1.0,1.0,1.0
301,751,301,689,12,7,4,16,8,0,-65,10,-100,0,65,0.0,0.5,1.0,0.0
210,547,210,778,17,10,119,14,12,-65,-25,-75,-50,-105,-70,1.0,1.0,1.0,1.0
279,740,279,55,6,5,210,4,12,2,55,2,-2,-84,5,1.0,0.5,1.0,1.0
779,657,779,525,8,9,312,0,3,-7,23,-2,-7,10,-27,1.0,0.5,1.0,0.5
554,605,554,748,14,6,771,0,14,60,45,1,60,21,53,2.0,2.0,1.0,1.0
41,276,41,105,4,12,445,9,2,0,-65,-27,-85,-20,-110,2.0,1.0,1.0,0.0
259,660,259,181,3,12,201,9,17,-29,-31,-94,11,-61,75,0.5,1.0,1.0,0.5
666,118,666,174,3,12,331,13,12,45,50,-15,45,35,15,1.0,1.0,1.0,1.0
298,566,298,502,9,1,360,12,12,25,10,-5,35,-5,5,1.0,1.0,1.0,1.0
414,566,414,437,16,15,360,12,12,35,85,105,80,65,55,1.0,1.0,0.5,1.0
389,98,389,170,8,12,621,17,12,-10,-25,-10,-15,65,-15,1.0,1.0,1.0,1.0
168,54,168,41,9,12,744,0,14,0,7,30,23,25,15,0.25,1.0,2.0,2.0
37,769,37,488,13,10,12,15,11,13,33,37,8,22,30,0.5,2.0,0.5,2.0
387,132,387,36,8,12,479,14,4,24,70,0,-17,-57,-25,2.0,1.0,1.0,1.0
113,582,113,126,10,12,57,3,12,5,-10,63,-10,18,-41,2.0,1.0,0.0,1.0
550,703,550,128,1,12,714,7,12,-9,-25,20,10,10,14,1.0,1.0,1.0,1.0
172,117,172,728,6,12,356,12,12,-12,29,3,49,10,70,1.0,1.0,1.0,1.0
163,577,163,464,14,12,483,14,12,30,85,45,87,35,106,0.5,1.0,0.5,1.0
94,587,94,609,17,12,777,14,7,10,0,12,-10,27,-27,1.0,1.0,1.0,1.0
697,629,697,301,1,2,21,15,7,17,-35,25,13,25,-12,1.0,1.0,1.0,1.0
733,743,733,598,0,12,512,5,12,-29,-47,-22,-19,-23,-8,0.5,1.0,0.5,1.0
