battle_number,First_pokemon,Second_pokemon,Winner
421,738,789,0
422,476,223,0
423,574,283,0
424,621,551,1
425,723,617,0
426,1,679,1
427,595,131,0
428,433,339,1
429,247,452,0
430,19,709,1
431,410,278,0
432,103,142,0
433,37,337,1
434,453,29,0
435,73,113,1
436,374,87,0
437,634,784,1
438,681,790,0
439,181,765,0
440,584,498,1
441,586,590,1
442,732,1,0
443,478,524,0
444,734,19,1
445,634,348,0
446,567,755,0
447,354,82,0
448,417,783,0
449,420,85,0
450,610,215,0
451,350,160,0
452,122,588,1
453,159,77,0
454,398,598,0
455,300,704,1
456,508,293,0
457,763,685,1
458,428,203,0
459,509,199,0
460,106,592,0
461,550,394,0
462,310,48,1
463,80,314,1
464,463,203,0
465,484,9,1
466,700,49,0
467,437,533,1
468,73,485,0
469,627,314,1
470,216,657,0
471,126,617,0
472,632,707,1
473,692,331,0
474,11,309,1
475,483,22,0
476,665,170,1
477,540,337,0
478,39,299,1
479,761,762,1
480,441,1,0
481,434,137,1
482,700,433,0
483,52,379,1
484,158,171,0
485,769,374,0
486,789,690,1
487,393,255,1
488,307,741,0
489,528,492,0
490,212,24,1
491,99,173,0
492,58,253,0
493,226,289,0
494,365,609,0
495,409,532,0
496,647,294,0
497,15,756,1
498,196,774,0
499,265,68,0
500,564,749,1
501,750,248,1
502,142,107,0
503,427,404,0
504,454,302,1
505,323,574,1
506,262,67,1
507,710,434,0
508,291,666,0
509,233,445,0
510,126,494,1
511,252,108,1
512,69,212,1
513,120,342,0
514,224,173,1
515,695,94,1
516,672,355,0
517,409,254,0
518,195,607,1
519,528,327,1
520,127,81,0
521,698,336,1
522,422,705,1
523,432,397,0
524,409,376,0
525,582,424,1
526,521,268,0
527,304,708,1
528,385,492,1
529,560,70,0
530,545,149,1
531,68,362,1
532,672,732,1
533,632,14,0
534,641,341,1
535,365,428,1
536,594,425,1
537,764,529,0
538,397,161,0
539,111,670,1
540,219,738,0
541,408,647,1
542,516,107,1
543,622,736,1
544,212,128,0
545,685,648,1
546,406,420,1
547,501,689,1
548,533,211,0
549,413,580,0
550,74,277,1
551,460,713,1
552,450,8,1
553,376,196,1
554,292,510,1
555,282,186,0
556,384,699,1
557,295,741,1
558,346,790,0
559,269,187,0
560,45,323,1
561,89,778,1
562,151,238,0
563,774,667,0
564,266,301,1
565,602,375,1
566,31,490,1
567,92,182,0
568,588,390,0
569,476,434,0
570,360,426,1
571,101,21,1
572,267,182,0
573,245,72,1
574,10,17,1
575,110,425,1
576,244,177,1
577,209,465,1
578,778,760,0
579,192,721,0
580,340,110,1
581,555,443,1
582,538,82,0
583,123,434,0
584,597,627,0
585,409,56,0
586,458,301,1
587,65,644,0
588,584,319,1
589,262,210,1
590,116,492,0
591,75,480,1
592,38,302,1
593,750,656,1
594,453,174,0
595,375,509,0
596,791,203,0
597,617,266,0
598,480,541,1
599,425,750,0
600,325,276,1
601,385,157,1
602,331,648,1
603,566,34,1
604,86,502,1
605,214,435,0
606,551,778,0
607,300,354,0
608,438,630,0
609,209,397,0
610,582,666,0
611,52,780,1
612,492,417,1
613,519,581,1
614,11,771,1
615,725,340,1
616,286,313,1
617,79,633,1
618,435,83,0
619,565,55,1
620,313,754,0
621,247,685,0
622,698,215,0
623,76,567,1
624,451,21,0
625,132,473,0
626,500,215,0
627,4,13,0
628,111,188,0
629,39,519,1
630,129,303,0
631,306,39,0
632,752,595,1
633,699,458,0
634,708,456,0
635,102,304,0
636,399,239,1
637,37,13,1
638,498,282,0
639,649,489,0
640,535,189,0
641,147,189,0
642,107,32,1
643,688,350,1
644,559,540,1
645,28,44,1
646,277,168,1
647,285,328,1
648,650,652,0
649,638,393,1
650,365,233,1
651,215,290,0
652,576,231,0
653,335,333,0
654,79,392,0
655,181,41,0
656,136,546,0
657,208,685,1
658,634,480,1
659,481,690,0
660,262,47,1
661,87,59,1
662,637,695,1
663,712,74,0
664,696,274,1
665,485,101,1
666,484,661,1
667,721,631,1
668,354,257,1
669,485,605,1
670,27,798,1
671,604,131,1
672,336,532,1
673,298,179,1
674,297,394,1
675,260,358,0
676,429,475,0
677,546,416,0
678,174,224,0
679,65,173,0
680,793,247,0
681,530,437,1
682,154,650,0
683,627,150,1
684,47,334,1
685,146,660,1
686,348,105,0
687,712,575,0
688,602,728,1
689,523,461,0
690,347,526,1
691,579,373,0
692,2,214,1
693,10,596,1
694,531,762,0
695,430,516,0
696,305,400,0
697,158,258,0
698,528,38,0
699,54,600,1
700,424,728,0
701,232,333,0
702,162,114,0
703,59,118,0
704,632,742,1
705,488,708,1
706,180,690,1
707,129,423,1
708,162,439,0
709,592,267,1
710,727,219,0
711,707,764,0
712,537,525,0
713,798,672,1
714,6,47,0
715,421,225,0
716,703,732,1
717,743,248,1
718,773,454,0
719,286,680,0
720,541,302,0
721,210,686,1
722,503,62,0
723,423,734,0
724,280,524,0
725,116,681,0
726,365,680,1
727,330,664,1
728,462,463,1
729,242,325,0
730,131,340,1
731,713,794,1
732,234,667,0
733,270,772,1
734,200,393,1
735,181,351,0
736,546,350,1
737,665,39,1
738,475,402,0
739,383,722,0
740,401,580,1
741,123,609,0
742,502,123,0
743,98,537,1
744,565,716,1
745,512,100,0
746,240,93,1
747,646,468,0
748,89,470,0
749,438,284,0
750,125,31,0
751,570,222,0
752,350,512,1
753,643,42,0
754,560,316,1
755,715,343,0
756,126,622,0
757,278,184,1
758,604,130,1
759,558,573,1
760,411,220,0
761,132,181,0
762,592,748,1
763,709,260,0
764,515,598,1
765,576,530,0
766,512,205,0
767,268,458,0
768,633,113,0
769,368,101,1
770,371,61,1
771,248,339,1
772,256,30,1
773,691,593,0
774,118,349,1
775,216,30,0
776,540,545,0
777,664,13,1
778,292,52,1
779,120,256,1
780,178,456,0
781,148,343,1
782,693,68,1
783,547,719,0
784,93,738,0
785,664,398,1
786,347,589,1
787,222,568,1
788,349,425,0
789,166,559,0
790,50,306,1
791,361,716,1
792,226,509,0
793,2,594,0
794,50,134,1
795,459,111,1
796,667,96,0
797,260,215,1
798,380,694,1
799,496,485,0
800,310,153,1
801,349,663,0
802,516,130,0
803,783,681,0
804,657,355,1
805,549,100,0
806,462,690,1
807,112,465,1
808,117,370,1
809,549,54,0
810,478,593,0
811,497,280,1
812,766,591,0
813,677,17,0
814,251,259,0
815,53,494,1
816,746,494,1
817,475,723,0
818,305,238,0
819,288,524,0
820,751,45,0
821,291,470,0
822,154,325,0
823,638,359,0
824,604,233,1
825,19,369,0
826,526,203,0
827,129,695,0
828,215,719,1
829,518,118,0
830,127,287,0
831,559,214,1
832,762,86,0
833,557,501,0
834,282,605,0
835,307,149,0
836,425,390,0
837,612,731,1
838,387,311,1
839,143,116,1
840,340,268,0
841,14,162,1
842,570,492,0
843,549,127,0
844,484,212,1
845,524,222,0
846,400,151,1
847,375,255,1
848,738,176,0
849,116,490,1
850,2,394,1
851,369,505,1
852,283,254,1
853,545,241,0
854,49,268,1
855,522,177,0
856,699,225,1
857,160,398,1
858,579,691,1
859,337,494,1
860,465,536,0
861,768,738,0
862,541,233,0
863,462,259,1
864,569,796,0
865,145,148,1
866,306,290,0
867,581,549,1
868,81,70,0
869,179,517,0
870,147,629,0
871,274,302,0
872,621,271,1
873,669,318,1
874,533,754,0
875,487,527,1
876,385,160,1
877,49,636,1
878,793,372,0
879,93,477,1
880,572,353,0
881,422,132,1
882,296,599,0
883,771,323,0
884,385,323,0
885,523,519,1
886,390,747,1
887,698,98,0
888,472,295,0
889,667,797,1
890,643,620,0
891,450,700,1
892,583,450,0
893,247,7,1
894,614,638,0
895,15,182,1
896,624,68,1
897,281,716,1
898,167,761,0
899,157,141,0
900,175,697,1
901,791,85,1
902,54,214,1
903,50,406,0
904,585,463,0
905,675,343,1
906,369,392,1
907,30,198,0
908,406,403,1
909,627,173,1
910,671,395,0
911,359,657,1
912,117,707,1
913,654,164,0
914,86,377,0
915,699,454,0
916,440,615,1
917,406,542,1
918,604,142,1
919,231,209,1
920,441,337,1
921,116,790,0
922,305,752,1
923,40,226,0
924,514,602,0
925,629,74,0
926,217,628,1
927,261,24,1
928,613,189,0
929,597,386,0
930,555,682,1
931,165,515,0
932,766,395,0
933,493,378,0
934,339,460,0
935,47,711,1
936,619,451,1
937,105,599,1
938,692,126,0
939,74,693,1
940,45,315,1
941,596,770,0
942,595,392,1
943,102,54,0
944,742,666,0
945,343,407,0
946,438,604,0
947,111,294,0
948,468,342,1
949,528,794,1
950,513,461,0
951,424,604,0
952,383,536,1
953,56,795,1
954,292,246,1
955,593,332,1
956,352,697,1
957,520,184,1
958,504,426,1
959,21,602,0
960,343,622,0
961,224,228,1
962,160,354,0
963,490,24,1
964,158,274,0
965,713,331,0
966,414,518,0
967,141,538,1
968,713,218,0
969,273,765,1
970,97,701,1
971,603,452,0
972,514,640,0
973,542,615,0
974,63,399,0
975,676,142,1
976,274,615,1
977,792,498,0
978,586,751,1
979,495,489,0
980,280,83,0
981,291,54,0
982,73,415,1
983,531,659,0
984,230,674,1
985,455,531,1
986,662,382,0
987,464,751,1
988,572,102,1
989,213,232,1
990,591,100,1
991,470,258,1
992,720,243,0
993,381,783,1
994,157,525,0
995,1,687,1
996,376,301,1
997,665,567,1
998,790,124,1
999,356,436,1
1000,715,442,0
1001,415,732,0
1002,216,195,0
1003,520,700,1
1004,191,116,1
1005,227,573,1
1006,83,742,1
1007,661,366,1
1008,767,15,0
1009,567,217,0
1010,276,619,0
1011,371,31,1
1012,163,470,0
1013,696,576,1
1014,163,132,0
1015,496,319,0
1016,676,614,1
1017,164,141,0
1018,639,562,1
1019,138,233,0
1020,283,413,1
1021,227,32,1
1022,606,360,0
1023,429,375,0
1024,286,21,0
1025,800,422,1
1026,498,199,0
1027,214,380,0
1028,679,94,0
1029,602,150,0
1030,163,675,0
1031,684,467,1
1032,368,376,0
1033,137,153,0
1034,744,248,1
1035,283,336,1
1036,282,288,1
1037,710,646,0
1038,713,250,0
1039,654,56,1
1040,1,557,1
1041,543,762,0
1042,130,341,1
1043,65,523,0
1044,175,563,0
1045,157,25,0
1046,308,110,1
1047,107,213,1
1048,150,717,1
1049,5,117,0
1050,173,576,1
1051,296,412,0
1052,749,682,1
1053,285,44,1
1054,494,384,0
1055,31,692,0
1056,657,402,0
1057,483,678,0
1058,372,607,1
1059,734,724,1
1060,268,441,0
1061,192,21,0
1062,62,576,1
1063,369,447,0
1064,344,323,0
1065,299,410,1
1066,689,137,1
1067,426,83,0
1068,4,307,1
1069,54,460,0
1070,717,177,0
1071,118,739,1
1072,350,4,0
1073,325,299,1
1074,327,406,1
1075,491,642,1
1076,763,490,1
1077,694,565,0
1078,199,231,0
1079,16,55,1
1080,451,598,1
1081,52,6,1
1082,788,428,1
1083,484,451,0
1084,101,518,1
1085,249,797,0
1086,670,131,1
1087,715,73,0
1088,789,156,1
1089,350,749,0
1090,551,772,1
1091,368,344,0
1092,232,405,0
1093,421,156,0
1094,103,465,0
1095,581,299,0
1096,743,421,1
1097,171,455,1
1098,142,562,0
1099,656,37,1
1100,680,721,1
1101,362,528,1
1102,453,561,0
1103,344,173,0
1104,526,701,1
1105,525,81,0
1106,365,244,1
1107,295,290,0
1108,307,113,0
1109,595,401,1
1110,549,600,0
1111,243,197,1
1112,703,426,0
1113,587,461,1
1114,82,278,1
1115,583,545,0
1116,420,394,1
1117,131,513,1
1118,375,505,1
1119,209,115,0
1120,215,601,1
1121,503,662,1
1122,157,79,0
1123,197,799,1
1124,501,690,1
1125,148,106,1
1126,671,718,1
1127,639,278,1
1128,334,778,1
1129,211,494,1
1130,760,396,0
1131,565,616,1
1132,716,296,0
1133,4,794,1
1134,785,218,0
1135,445,764,1
1136,317,102,1
1137,262,787,1
1138,2,705,1
1139,410,209,0
1140,597,682,1
1141,737,701,1
1142,305,160,1
1143,638,310,0
1144,63,428,1
1145,676,353,0
1146,454,55,1
1147,390,439,1
1148,315,115,1
1149,364,302,0
1150,797,113,0
1151,513,162,0
1152,194,763,1
1153,10,158,1
1154,754,434,1
1155,230,61,1
1156,692,211,0
1157,239,41,0
1158,130,226,1
1159,254,157,1
1160,675,411,0
1161,303,569,1
1162,461,563,1
1163,567,362,1
1164,547,675,0
1165,184,53,0
1166,50,462,1
1167,658,226,0
1168,296,337,1
1169,431,169,0
1170,558,428,1
1171,457,266,1
1172,71,196,0
1173,654,735,1
1174,104,190,0
1175,487,376,1
1176,543,631,0
1177,759,70,1
1178,72,182,0
1179,367,124,1
1180,439,523,1
1181,795,364,0
1182,107,711,1
1183,255,298,0
1184,68,621,0
1185,245,372,0
1186,800,176,0
1187,498,134,1
1188,69,368,1
1189,103,381,0
1190,29,217,0
1191,695,359,1
1192,65,425,0
1193,125,216,1
1194,472,456,0
1195,366,264,1
1196,334,267,1
1197,165,486,0
1198,440,424,1
1199,366,707,1
1200,333,221,0
1201,711,174,0
1202,726,775,0
1203,164,157,0
1204,478,87,0
1205,609,557,1
1206,424,340,0
1207,760,764,0
1208,678,372,1
1209,328,39,1
1210,250,692,0
1211,389,202,1
1212,791,771,1
1213,635,697,0
1214,503,607,0
1215,437,5,0
1216,343,449,0
1217,423,141,0
1218,703,99,0
1219,559,280,1
1220,532,340,1
1221,364,765,1
1222,590,141,0
1223,326,717,1
1224,289,188,0
1225,538,52,0
1226,528,549,0
1227,563,202,1
1228,642,393,1
1229,167,522,1
1230,127,352,0
1231,649,452,0
1232,175,292,0
1233,651,313,0
1234,750,757,1
1235,159,409,1
1236,744,529,0
1237,64,153,1
1238,654,164,0
1239,773,708,0
1240,6,418,1
1241,581,409,1
1242,92,331,1
1243,266,304,0
1244,704,181,0
1245,344,156,1
1246,717,440,0
1247,82,96,0
1248,309,730,1
1249,91,351,1
1250,683,346,0
1251,168,403,0
1252,627,611,1
1253,323,537,1
1254,160,205,1
1255,448,204,1
1256,124,105,0
1257,524,321,0
1258,601,699,1
1259,283,226,0
1260,294,305,1
1261,489,498,1
1262,572,265,0
1263,28,548,0
1264,249,641,0
1265,780,288,1
1266,786,611,0
1267,155,511,0
1268,707,224,0
1269,230,139,1
1270,468,551,1
1271,24,57,0
1272,583,614,1
1273,490,542,1
1274,615,34,1
1275,654,356,1
1276,759,443,1
1277,687,406,0
1278,647,747,1
1279,546,181,0
1280,560,600,1
1281,631,432,1
1282,449,694,1
1283,501,453,1
1284,679,309,0
1285,647,567,0
1286,642,604,1
1287,585,757,1
1288,401,557,1
1289,707,777,0
1290,10,88,0
1291,460,579,1
1292,216,472,1
1293,683,160,1
1294,595,681,1
1295,482,580,1
1296,789,179,1
1297,155,320,0
1298,226,103,1
1299,529,2,1
1300,232,72,0
1301,216,508,1
1302,645,417,0
1303,409,110,1
1304,133,576,0
1305,631,616,1
1306,549,159,0
1307,428,357,0
1308,759,402,0
1309,627,473,0
1310,403,345,1
1311,107,652,0
1312,492,216,1
1313,208,689,1
1314,8,656,0
1315,735,726,1
1316,559,277,0
1317,50,470,0
1318,568,355,0
1319,44,15,0
1320,491,411,0
1321,658,760,0
1322,512,476,0
1323,310,138,1
1324,708,760,0
1325,512,745,1
1326,495,162,1
1327,730,532,1
1328,189,35,1
1329,437,607,0
1330,669,302,1
1331,344,152,0
1332,156,791,0
1333,565,38,0
1334,344,329,0
1335,632,505,1
1336,130,581,1
1337,717,722,0
1338,649,303,0
1339,367,180,0
1340,640,20,1
1341,168,277,0
1342,691,710,1
1343,16,39,0
1344,682,335,0
1345,508,164,1
1346,253,449,0
1347,16,352,0
1348,786,795,0
1349,776,232,1
1350,233,571,0
1351,125,558,0
1352,444,651,0
1353,765,576,1
1354,453,234,1
1355,18,626,1
1356,734,400,1
1357,635,86,0
1358,619,97,0
1359,218,519,1
1360,219,660,1
1361,179,588,1
1362,485,609,1
1363,326,259,1
1364,359,525,1
1365,403,677,1
1366,637,113,0
1367,476,337,0
1368,513,781,0
1369,384,664,0
1370,219,74,0
1371,685,139,1
1372,132,174,0
1373,131,758,0
1374,299,341,1
1375,279,535,1
1376,395,567,1
1377,132,194,0
1378,444,285,0
1379,510,136,1
1380,564,703,1
1381,216,101,1
1382,764,51,0
1383,85,267,0
1384,364,357,1
1385,399,538,1
1386,571,729,1
1387,574,217,0
1388,469,36,0
1389,138,485,0
1390,448,242,1
1391,149,48,1
1392,741,121,0
1393,602,28,1
1394,707,304,0
1395,511,667,0
1396,310,469,1
1397,198,231,0
1398,95,446,1
1399,292,682,1
1400,286,326,1
1401,713,523,0
1402,481,549,0
1403,713,741,0
1404,243,377,1
1405,202,502,0
1406,333,58,0
1407,54,244,1
1408,721,738,0
1409,587,57,1
1410,398,392,0
1411,455,564,0
1412,526,383,0
1413,418,767,0
1414,748,640,0
1415,670,13,1
1416,563,276,1
1417,756,569,0
1418,455,521,1
1419,52,565,1
1420,740,81,0
1421,488,288,1
1422,440,439,0
1423,251,170,1
1424,788,298,1
1425,743,245,1
1426,181,711,1
1427,700,466,0
1428,535,192,0
1429,323,215,1
1430,413,578,0
1431,350,238,0
1432,573,58,1
1433,665,100,0
1434,603,422,0
1435,38,408,1
1436,210,799,1
1437,138,539,0
1438,477,117,0
1439,309,497,1
1440,137,223,1
1441,34,526,1
1442,243,728,1
1443,466,375,0
1444,777,216,1
1445,723,726,1
1446,1,766,1
1447,668,560,1
1448,361,478,1
1449,607,343,1
1450,600,676,0
1451,424,736,0
1452,462,169,1
1453,447,374,1
1454,403,249,1
1455,449,517,1
1456,645,461,0
1457,615,590,1
1458,251,539,1
1459,56,138,1
1460,423,383,0
1461,467,506,0
1462,583,100,0
1463,263,330,0
1464,400,214,1
1465,662,115,1
1466,56,656,1
1467,559,342,0
1468,552,382,0
1469,799,701,1
1470,774,694,1
1471,649,17,0
1472,330,486,0
1473,216,584,0
1474,746,265,1
1475,779,467,1
1476,59,797,0
1477,298,324,0
1478,720,669,0
1479,718,675,0
1480,542,172,1
1481,338,492,0
1482,125,186,0
1483,557,795,0
1484,281,790,0
1485,518,776,0
1486,428,393,0
1487,734,26,1
1488,114,228,1
1489,306,477,1
1490,770,554,1
1491,520,371,0
1492,579,679,1
1493,726,48,0
1494,43,30,1
1495,14,612,1
1496,23,2,0
1497,762,104,1
1498,386,559,1
1499,230,120,0
1500,670,174,1
1501,788,586,0
1502,216,420,1
1503,432,484,0
1504,397,306,1
1505,226,126,1
1506,457,601,1
1507,369,63,1
1508,388,123,0
1509,21,518,1
1510,656,382,0
1511,217,250,1
1512,707,179,0
1513,702,456,0
1514,240,557,1
1515,62,154,1
1516,84,77,0
1517,622,741,0
1518,158,565,0
1519,158,651,1
1520,168,654,1
1521,527,237,0
1522,38,296,1
1523,211,17,0
1524,251,220,0
1525,625,280,1
1526,113,599,1
1527,53,330,1
1528,778,501,0
1529,134,234,1
1530,172,777,0
1531,15,253,1
1532,108,577,0
1533,614,352,0
1534,2,597,1
1535,143,459,0
1536,626,304,0
1537,316,141,0
1538,328,625,1
1539,282,535,1
1540,674,172,1
1541,29,113,0
1542,182,391,1
1543,752,357,1
1544,174,621,0
1545,391,102,1
1546,721,420,1
1547,239,191,1
1548,123,729,1
1549,642,9,1
1550,65,174,0
1551,417,708,1
1552,94,636,1
1553,659,769,0
1554,784,601,1
1555,113,541,1
1556,706,418,1
1557,23,635,1
1558,151,126,1
1559,44,304,0
1560,280,494,1
1561,323,391,1
1562,299,324,0
1563,182,126,1
1564,780,80,1
1565,255,130,1
1566,195,711,1
1567,725,729,1
1568,794,295,0
1569,486,683,1
1570,416,465,1
1571,175,68,0
1572,678,318,1
1573,76,451,1
1574,728,276,1
1575,624,562,1
1576,111,193,1
1577,216,128,0
1578,153,394,1
1579,291,656,1
1580,639,609,1
1581,705,738,0
1582,219,269,1
1583,534,40,0
1584,290,192,1
1585,546,179,1
1586,497,416,0
1587,480,427,1
1588,521,636,0
1589,109,389,0
1590,76,214,1
1591,242,584,0
1592,106,31,1
1593,358,86,0
1594,152,162,1
1595,714,206,0
1596,404,508,1
1597,223,696,0
1598,385,55,1
1599,54,626,0
1600,370,522,1
1601,434,487,0
1602,450,607,1
1603,505,289,0
1604,610,725,0
1605,55,91,0
1606,536,664,0
1607,784,743,0
1608,485,614,1
1609,221,266,1
1610,540,498,0
1611,474,286,0
1612,15,311,1
1613,635,231,0
1614,712,422,0
1615,177,24,1
1616,494,428,0
1617,504,97,1
1618,648,798,0
1619,767,789,0
1620,291,367,1
1621,658,266,1
1622,564,343,1
1623,688,627,0
1624,243,51,1
1625,2,560,1
1626,447,176,0
1627,357,429,1
1628,581,279,0
1629,515,87,0
1630,147,278,0
1631,375,677,1
1632,162,524,1
1633,197,333,1
1634,738,498,1
1635,160,199,0
1636,642,564,0
1637,122,570,1
1638,501,370,1
1639,83,412,1
1640,292,122,0
1641,654,459,0
1642,453,305,0
1643,171,258,0
1644,31,547,0
1645,321,453,1
1646,58,134,1
1647,535,158,1
1648,207,50,1
1649,443,623,1
1650,165,688,0
1651,564,791,1
1652,605,716,1
1653,534,268,0
1654,454,87,0
1655,283,305,0
1656,784,246,1
1657,737,730,0
1658,767,171,1
1659,681,484,1
1660,677,739,0
